Underground Temperature (°C),Target Object Temperature (°C),Humidity (%),Distance (cm),Proximity,Motion Detected,Human Presence
10.970455444310627,35.710955307996855,49.850734509130355,236.10908485613703,1,0,0
15.93796365953225,34.416235708670484,44.3441819274973,256.70436023356575,1,1,0
16.88806423831626,34.60343482156263,57.017142564594415,84.90145038658821,1,1,1
10.672555918391312,27.718475988325732,45.553540574128306,72.60340486956503,1,1,1
15.91799827872208,23.34171554529745,50.331068842791176,288.8982818324586,0,0,0
13.813069373791137,21.39914532441765,66.94778208949003,74.02963379032377,0,1,0
10.38552941606151,29.00220271308256,58.89260716328077,142.0812475627159,1,0,0
15.470097563163094,36.16374560414724,63.46898341143974,111.13572493532169,0,0,0
13.977534579480285,31.38097961814075,49.34077357276226,74.39775379931223,0,1,0
12.91753029209836,33.431636668524256,65.81852002543744,154.8274497080862,1,0,0
16.687464262654622,20.76915104372344,67.54337747465671,169.86422436761904,0,1,0
17.923737675396392,30.94055246537451,69.45366103780849,217.3457611413025,0,0,0
18.12945871276552,34.0096443049886,55.23439999015343,163.24423408634794,0,0,0
18.465045470166075,39.002576664468236,55.532983000944064,278.93720300183134,0,0,0
19.08270908329705,28.149984417766753,42.0197575235862,81.2913683242273,0,1,0
18.97416252671745,30.366698630644386,58.52272473310013,275.26055192489144,1,0,0
17.19610824373633,36.001785445168025,63.960702135529665,181.26610046736278,1,0,0
14.225702893892509,30.118867708842295,46.34111010015717,90.24109430929916,0,1,0
11.32815059657033,23.564866480358262,48.65526027925972,216.8068670447351,0,0,0
13.410074340595678,30.034413755391576,69.05352428605339,131.1139033251433,1,1,0
16.101411988773453,27.58189937486759,63.24936536931934,102.86639631307901,1,0,0
17.387442074306435,30.619269588981034,46.66750575996399,259.57282261827913,0,1,0
11.655462258702453,29.26840276598833,64.17974338601265,219.453900741869,0,1,0
10.71715990114777,38.72825971380196,68.49580597178475,77.97642252657627,1,1,1
11.177027582643252,26.55623386845467,44.694376793955016,247.77534160919907,0,1,0
16.419491797961236,35.760200626433544,58.803758078516935,81.68271779362945,1,0,0
14.680849573618131,21.669900769531466,53.21202886894534,144.81964969370853,0,0,0
11.754408342865178,29.65824696065871,44.82570722584758,280.21791412100356,1,0,0
16.166372618778837,28.429357252186545,61.63168085471128,129.64551320367536,1,1,0
12.854641063217707,37.05254320194848,41.00455935405928,211.07731078063432,1,1,0
18.37943465070863,21.6516750442528,64.39237199012699,132.70079320837095,0,0,0
11.270772662342106,38.49621984904202,42.944665225125426,125.29500834677097,0,1,0
18.892351524286497,22.609831752092308,55.65230760607158,290.5088164249391,0,0,0
16.382472819628298,33.13744422115116,54.30995549393265,127.2026701943671,0,1,0
10.668965296266851,36.4123480597935,48.629432844744336,241.20365902963522,1,0,0
11.162552662014258,27.042941680458053,52.13862960824834,169.79351062555668,1,0,0
13.11848598147669,29.635590169883663,56.15015890751198,150.46707265680163,0,1,0
16.548005298020847,32.74429832613183,50.99630953906044,210.58632717558476,0,1,0
11.435149317624672,25.8440460957285,46.235726090888114,217.55136079470947,0,0,0
10.446180237465711,33.77136466048829,42.25282631000569,260.88471083745003,0,1,0
14.872425714529783,31.179242283076697,65.01837632775892,154.27381591688203,0,0,0
19.39035847603803,22.919240063872742,64.44092184197886,158.52633347571262,1,1,0
12.220106217378188,22.17380763416326,52.8531108866014,193.16264548455536,1,1,0
19.682793200710186,24.96486660797498,64.91665503234327,267.143845165251,1,1,0
19.20246076770086,37.845958762321416,65.82699866885049,250.96363575052135,1,0,0
19.712952098521725,30.616985446378095,68.875025060893,232.7444024632602,1,1,0
16.19998497882669,29.934460069592504,69.54493767891776,166.73319227545937,1,1,0
12.898378187134563,22.421111290981404,49.27296551258663,194.38745928728952,1,0,0
13.234997895621039,23.073572554457314,68.63608018570379,216.34937797638497,0,0,0
